Date,Time,VRATE,PBLH,WIND_SPEED(GUST),PRATE,Temp,pixelID,lat,lon,u10,v10,u20,v20,u30,v30,u40,v40,u50,v50,u80,v80,u100,v100,file
2023-01-01,0,200,0,1.1046646,0,296.25845,A,13.75,100.5,-0.14053711,-0.22643799,-0.27801025,-0.31456298,-0.33111084,-0.3802075,-0.400542,0.03600342,0.045515135,0.05744873,0.061242677,0.07422363,0.11262939,0.14746338,gfs.0p25.2023010100.f000.grib2
2023-01-01,0,300,0,3.1046646,0,292.25845,B,13.75,100.75,-2.2205372,-2.386438,-2.5780103,-2.684563,-2.7511108,-2.8602076,-2.870542,-0.7939966,-0.90448487,-1.0025513,-1.0787573,-1.1357764,-1.2873706,-1.3625367,gfs.0p25.2023010100.f000.grib2
2023-01-01,0,800,0,4.4046645,0,292.55844,C,14,100.5,-0.6105371,-0.856438,-1.0280102,-1.164563,-1.3111109,-1.6902075,-1.920542,-2.8039966,-3.0644848,-3.3925512,-3.5887573,-3.7357764,-3.9973707,-4.0525365,gfs.0p25.2023010100.f000.grib2
2023-01-01,0,600,0,5.2046647,0,290.45844,D,13.75,100.25,1.1094629,1.073562,1.1219897,1.105437,1.0688891,0.73979247,0.359458,-2.7539966,-3.1044848,-3.5125513,-3.8587573,-4.1757765,-4.9073706,-5.2425365,gfs.0p25.2023010100.f000.grib2
2023-01-01,6,3000,0,2.4154053,0,310.72504,A,13.75,100.5,-0.9083423,-0.8439258,-0.87337404,-0.8906885,-0.9146582,-0.9386572,-0.9504126,-1.7085425,-1.5480274,-1.6047242,-1.6407373,-1.6634741,-1.705774,-1.7156787,gfs.0p25.2023010106.f000.grib2
2023-01-01,6,5000,0,3.4154053,0,310.22504,B,13.75,100.75,-1.7383423,-1.6939257,-1.7733741,-1.8206885,-1.8646582,-1.9686573,-2.0104127,-1.7785425,-1.6480273,-1.7147241,-1.7607373,-1.7934741,-1.8657739,-1.8856788,gfs.0p25.2023010106.f000.grib2
2023-01-01,6,5000,0,2.8154054,0,307.92502,C,14,100.5,-1.4283423,-1.4039258,-1.463374,-1.5006884,-1.5246582,-1.5886573,-1.6104126,-2.0285425,-1.9780273,-2.0747242,-2.1207373,-2.153474,-2.2257738,-2.2556787,gfs.0p25.2023010106.f000.grib2
2023-01-01,6,6000,0,3.4154053,0,309.22504,D,13.75,100.25,-1.0883423,-1.1339258,-1.193374,-1.2406884,-1.2746582,-1.3286573,-1.3704126,-3.0585425,-2.9380274,-3.0647242,-3.1407373,-3.183474,-3.285774,-3.3056786,gfs.0p25.2023010106.f000.grib2
2023-01-01,12,3300,0,5.1193986,0,301.0783,A,13.75,100.5,-0.51271486,-0.7097803,-0.82134765,-0.8986743,-0.9506787,-1.1073315,-1.1833447,-4.0970435,-4.5082593,-4.9998755,-5.2871633,-5.4718213,-5.865793,-6.003457,gfs.0p25.2023010112.f000.grib2
2023-01-01,12,700,0,3.2193987,0,297.0783,B,13.75,100.75,-0.98271483,-1.0597802,-1.1613476,-1.2386743,-1.3006787,-1.5773315,-1.7133447,-2.2670434,-2.4882593,-2.7198756,-2.8771632,-2.9818213,-3.2057934,-3.253457,gfs.0p25.2023010112.f000.grib2
2023-01-01,12,5300,0,10.119399,0,297.77832,C,14,100.5,-1.4927149,-1.8297802,-2.1013477,-2.3086743,-2.4706788,-2.8973315,-3.1533446,-5.3670435,-5.9882593,-6.7098756,-7.207163,-7.591821,-8.425794,-8.843457,gfs.0p25.2023010112.f000.grib2
2023-01-01,12,3500,0,10.7193985,0,295.77832,D,13.75,100.25,-0.41271484,-0.67978024,-0.8513477,-0.99867433,-1.1406788,-1.5473316,-1.8433447,-4.9470434,-5.6182594,-6.3598757,-6.887163,-7.301821,-8.295794,-8.833457,gfs.0p25.2023010112.f000.grib2
2023-01-01,18,500,0,2.201638,0,297.71783,A,13.75,100.5,-0.295813,-0.42021972,-0.48615235,-0.5418701,-0.58027345,-0.6838623,-0.7332519,-1.6288135,-1.7572998,-1.9311109,-2.013767,-2.067273,-2.1525464,-2.1577172,gfs.0p25.2023010118.f000.grib2
2023-01-01,18,100,0,1.101638,0,294.01782,B,13.75,100.75,-0.865813,-0.9302197,-0.98615235,-1.0318701,-1.0702734,-1.1838623,-1.303252,-0.13881348,-0.1572998,-0.18111084,-0.20376709,-0.20727295,-0.22254638,-0.24771729,gfs.0p25.2023010118.f000.grib2
2023-01-01,18,900,0,5.2016377,0,294.61783,C,14,100.5,-0.815813,-1.0702198,-1.2561524,-1.4218701,-1.5702734,-2.0538623,-2.343252,-2.7188134,-3.0372999,-3.381111,-3.6037672,-3.797273,-4.2025466,-4.3777175,gfs.0p25.2023010118.f000.grib2
2023-01-01,18,300,0,4.301638,0,292.41782,D,13.75,100.25,0.334187,0.16978027,0.093847655,-0.05187012,-0.21027344,-0.7938623,-1.293252,-2.8488135,-3.1372998,-3.4611108,-3.733767,-3.987273,-4.5325465,-4.7677174,gfs.0p25.2023010118.f000.grib2
2023-01-02,0,300,0,1.3237696,0,296.0135,A,13.75,100.5,1.3254418,1.3553565,1.4472095,1.4667993,1.467522,1.4086304,1.3359643,-0.2022876,-0.2073877,-0.23366211,-0.22340332,-0.22497559,-0.18764405,-0.15482666,gfs.0p25.2023010200.f000.grib2
2023-01-02,0,300,0,2.0237696,0,295.0135,B,13.75,100.75,-1.1045581,-1.2246436,-1.3127905,-1.3732007,-1.4224781,-1.5313697,-1.5940356,0.1277124,0.11261231,0.10633789,0.10659668,0.095024414,0.062355958,0.02517334,gfs.0p25.2023010200.f000.grib2
2023-01-02,0,200,0,1.3237696,0,294.6135,C,14,100.5,0.3254419,0.23535645,0.18720947,0.13679932,0.067521974,-0.10136963,-0.21403565,-1.2022876,-1.2373877,-1.3236622,-1.3634033,-1.3949755,-1.417644,-1.3948267,gfs.0p25.2023010200.f000.grib2
2023-01-02,0,200,0,2.8237696,0,290.4135,D,13.75,100.25,1.6654419,1.6853565,1.7772095,1.7967993,1.787522,1.6286304,1.4659643,-1.7922876,-1.9573877,-2.1536622,-2.2934034,-2.4149756,-2.627644,-2.6448267,gfs.0p25.2023010200.f000.grib2
2023-01-02,6,1900,0,2.3058095,0,302.08566,A,13.75,100.5,-0.1212207,-0.05300293,-0.051779784,-0.04302002,-0.03362793,-0.016037598,0.006081543,-2.5950391,-2.627605,-2.7792895,-2.8511012,-2.8910987,-2.9390259,-2.9353662,gfs.0p25.2023010206.f000.grib2
2023-01-02,6,1300,0,2.4058096,0,299.28568,B,13.75,100.75,0.6487793,0.69699705,0.7382202,0.75698,0.7763721,0.8039624,0.80608153,-1.7750391,-1.897605,-2.0292895,-2.1111012,-2.1510987,-2.2390258,-2.2753663,gfs.0p25.2023010206.f000.grib2
2023-01-02,6,1500,0,2.2058096,0,304.48566,C,14,100.5,0.7287793,0.62699705,0.64822024,0.64698,0.6463721,0.6439624,0.6360815,-1.595039,-1.6576049,-1.7492895,-1.8011011,-1.8410987,-1.9290259,-1.9753662,gfs.0p25.2023010206.f000.grib2
2023-01-02,6,3500,0,3.1058097,0,309.38568,D,13.75,100.25,-0.8312207,-0.7930029,-0.8117798,-0.83302003,-0.8436279,-0.8460376,-0.85391843,-3.255039,-3.087605,-3.2092896,-3.271101,-3.3210986,-3.369026,-3.3853662,gfs.0p25.2023010206.f000.grib2
2023-01-02,12,2200,0,4.3055816,0,300.0332,A,13.75,100.5,-1.1297363,-1.285769,-1.4406445,-1.5353687,-1.6093531,-1.7563257,-1.8157276,-3.4794312,-3.764702,-4.1597095,-4.3934765,-4.5389113,-4.783743,-4.8288918,gfs.0p25.2023010212.f000.grib2
2023-01-02,12,700,0,3.0055816,0,296.73322,B,13.75,100.75,-1.5697364,-1.775769,-1.9706445,-2.1253686,-2.269353,-2.7163258,-2.9557276,-1.4594312,-1.5547022,-1.6997094,-1.7634766,-1.7989111,-1.8137426,-1.7788916,gfs.0p25.2023010212.f000.grib2
2023-01-02,12,800,0,5.005582,0,297.4332,C,14,100.5,-0.44973633,-0.565769,-0.65064454,-0.73536867,-0.80935305,-1.0463257,-1.2057276,-2.6594312,-2.994702,-3.3197095,-3.5734766,-3.778911,-4.2737427,-4.4888916,gfs.0p25.2023010212.f000.grib2
2023-01-02,12,2000,0,7.9055815,0,296.23322,D,13.75,100.25,-1.1397363,-1.375769,-1.5806445,-1.7353686,-1.869353,-2.2063258,-2.4057276,-4.649431,-5.104702,-5.6997094,-6.093477,-6.398911,-7.073743,-7.3788915,gfs.0p25.2023010212.f000.grib2
