Station Name,Location,station_id,Dcode,Dname,pixelID,Elat,ELlng
สถานีตรวจวัดคุณภาพฯ เขตดินแดง,บริเวณสวนป่า ถนนวิภาวดี เขตดินแดง,101,1026,ดินแดง,A,13.77095028,100.5522805
สถานีตรวจวัดคุณภาพฯ เขตดินแดง (สถานี คพ.),การเคหะชุมชนห้วยขวาง แขวงดินแดง เขตดินแดง,102,1026,ดินแดง,A,13.77680021,100.5719713
สถานีตรวจวัดคุณภาพฯ เขตดินแดง (สถานี คพ.),การเคหะชุมชนดินแดง แขวงดินแดง เขตดินแดง,103,1026,ดินแดง,A,13.76751488,100.5509261
สถานีตรวจวัดคุณภาพฯ เขตพระโขนง,บริเวณหน้าสำนักงานเขตพระโขนง,104,1009,พระโขนง,A,13.7025744,100.6023829
สถานีตรวจวัดคุณภาพฯ เขตราษฎรบูรณะ,บริเวณหน้าสำนักงานเขตราษฎร์บูรณะ,105,1024,ราษฎร์บูรณะ,A,13.68188651,100.5054536
สถานีตรวจวัดคุณภาพฯ เขตราชเทวี,ภายในสำนักงานเขตราชเทวี ถนนพญาไท,106,1037,ราชเทวี,A,13.75878704,100.5343988
สถานีตรวจวัดคุณภาพฯ เขตดุสิต,บริเวณสวนหย่อมตรงข้ามสำนักงานเขตดุสิต,107,1002,ดุสิต,A,13.77718786,100.5203412
สถานีตรวจวัดคุณภาพฯ เขตป้อมปราบศัตรูพ่าย,ด้านหน้าสำนักงานคณะกรรมการพัฒนาเศรษฐกิจและสังคมแห่งชาติ,108,1008,ป้อมปราบศัตรูพ่าย,A,13.75774123,100.514963
สถานีตรวจวัดคุณภาพฯ เขตสัมพันธวงศ์,บริเวณหน้าหัวมุม ซุ้มประตูเฉลิมพระเกียรติ (วงเวียนโอเดียน),109,1013,สัมพันธวงศ์,A,13.72999761,100.513786
สถานีตรวจวัดคุณภาพฯ เขตวังทองหลาง,ด้านหน้าปั๊มน้ำมัน เอสโซ่ ซ.ลาดพร้าว 95,110,1045,วังทองหลาง,A,13.77870002,100.6232368
สถานีตรวจวัดคุณภาพฯ เขตพญาไท,หน้าแฟลตทหารบกใกล้โรงพยาบาลวิชัยยุทธ ตรงข้ามกระทรวงการคลัง,111,1014,พญาไท,A,13.78191462,100.5335786
สถานีตรวจวัดคุณภาพฯ เขตพญาไท (สถานี คพ.),กรมประชาสัมพันธ์ แขวงพญาไท เขตพญาไท,112,1014,พญาไท,A,13.7801176,100.5376362
สถานีตรวจวัดคุณภาพฯ เขตวังทองหลาง (สถานี คพ.),โรงเรียนบดินทรเดชา (สิงห์ สิงหเสนี) แขวงพลับพลา เขตวังทองหลาง,113,1045,วังทองหลาง,A,13.76829687,100.6148884
สถานีตรวจวัดคุณภาพฯ เขตวังทองหลาง (สถานี คพ.),สถานีตำรวจนครบาลโชคชัย ริมถนนลาดพร้าว เขตวังทองหลาง,114,1045,วังทองหลาง,A,13.79527374,100.5934041
สถานีตรวจวัดคุณภาพฯ เขตปทุมวัน,หน้าห้างสามย่านมิตรทาวน์ ถนนพระราม 4,115,1007,ปทุมวัน,A,13.73241589,100.5306025
สถานีตรวจวัดคุณภาพฯ เขตปทุมวัน (สถานี คพ.),โรงพยาบาลจุฬาลงกรณ์ ริมถนนพระราม 4 เขตปทุมวัน,116,1007,ปทุมวัน,A,13.73062631,100.5349367
สถานีตรวจวัดคุณภาพฯ เขตบางรัก,บริเวณข้างป้อมตำรวจหน้าลานบางรักเลิฟลี่,117,1004,บางรัก,A,13.72986683,100.5232905
สถานีตรวจวัดคุณภาพฯ เขตสาทร,สี่แยกหน้าสำนักงานเขตสาทร ซอย ถนนเซนต์หลุยส์,118,1028,สาทร,A,13.70787149,100.5266435
